stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1_0,,交通局東北大学病院前,,38.269185,140.862062,1_0,,0,,,,
1_11,,交通局東北大学病院前,,38.269208,140.862266,1_11,,0,,,,
1_12,,交通局東北大学病院前,,38.269170,140.862275,1_12,,0,,,,
1_51,,交通局東北大学病院前,,38.269398,140.862008,1_51,,0,,,,
101_10,,木町通二丁目,,38.272017,140.867296,101_10,,0,,,,
101_50,,木町通二丁目,,38.271636,140.866260,101_50,,0,,,,
1019_10,,台原入口,,38.282782,140.872407,1019_10,,0,,,,
1019_50,,台原入口,,38.282632,140.872188,1019_50,,0,,,,
1021_10,,台原三丁目,,38.289196,140.872111,1021_10,,0,,,,
1021_50,,台原三丁目,,38.289219,140.871848,1021_50,,0,,,,
1023_10,,北根一丁目,,38.294178,140.873215,1023_10,,0,,,,
1023_50,,北根一丁目,,38.293929,140.872842,1023_50,,0,,,,
1025_10,,北根二丁目・文学館前,,38.297123,140.874861,1025_10,,0,,,,
1025_50,,北根二丁目・文学館前,,38.295861,140.873838,1025_50,,0,,,,
1027_10,,北根三丁目,,38.300091,140.876489,1027_10,,0,,,,1
1027_50,,北根三丁目,,38.298856,140.875892,1027_50,,0,,,,3
1029_10,,黒松団地入口,,38.303413,140.878254,1029_10,,0,,,,1
1029_50,,黒松団地入口,,38.303518,140.878020,1029_50,,0,,,,2
1029_51,,黒松団地入口,,38.303939,140.878628,1029_51,,0,,,,3
1043_10,,虹の丘団地入口,,38.307701,140.879163,1043_10,,0,,,,
1043_50,,虹の丘団地入口,,38.307678,140.878888,1043_50,,0,,,,
1045_10,,向原,,38.310746,140.881373,1045_10,,0,,,,
1045_50,,向原,,38.310922,140.881069,1045_50,,0,,,,
105_10,,東北大学病院前,,38.270897,140.860804,105_10,,0,,,,1
105_111,,東北大学病院前,,38.271356,140.863499,105_111,,0,,,,4
105_112,,東北大学病院前,,38.270085,140.861984,105_112,,0,,,,5
105_50,,東北大学病院前,,38.270728,140.860786,105_50,,0,,,,2
105_51,,東北大学病院前,,38.272658,140.862131,105_51,,0,,,,3
1061_0,,八乙女駅,,38.313035,140.884344,1061_0,,0,,,,
1061_10,,八乙女駅,,38.313082,140.884127,1061_10,,0,,,,1
1061_11,,八乙女駅,,38.313038,140.884437,1061_11,,0,,,,6
107_10,,広瀬町,,38.270603,140.856663,107_10,,0,,,,
107_50,,広瀬町,,38.270444,140.856418,107_50,,0,,,,
1081_10,,泉警察署前,,38.321245,140.882812,1081_10,,0,,,,
1081_50,,泉警察署前,,38.321138,140.883063,1081_50,,0,,,,
1085_0,,泉中央駅,,38.322924,140.881010,1085_0,,0,,,,
1085_11,,泉中央駅,,38.322702,140.881413,1085_11,,0,,,,1
1085_12,,泉中央駅,,38.322804,140.881418,1085_12,,0,,,,2
1089_10,,七北田公園西口,,38.321139,140.875924,1089_10,,0,,,,
1089_50,,七北田公園西口,,38.321069,140.875921,1089_50,,0,,,,
109_10,,八幡一丁目,,38.270055,140.851871,109_10,,0,,,,
109_50,,八幡一丁目,,38.269912,140.851740,109_50,,0,,,,
1091_50,,泉区役所・イズミティ２１前,,38.325242,140.881579,1091_50,,0,,,,
1093_10,,泉中央駅北口,,38.324145,140.880551,1093_10,,0,,,,
1095_10,,菅間,,38.325142,140.878299,1095_10,,0,,,,
1095_50,,菅間,,38.325087,140.878404,1095_50,,0,,,,
1099_10,,朴木沢,,38.325491,140.875202,1099_10,,0,,,,
1099_50,,朴木沢,,38.325380,140.875289,1099_50,,0,,,,
1103_10,,泉総合運動場・社会福祉センター前,,38.326381,140.869631,1103_10,,0,,,,
1103_50,,泉総合運動場・社会福祉センター前,,38.326344,140.868513,1103_50,,0,,,,
1107_10,,野村,,38.325595,140.862604,1107_10,,0,,,,
1107_50,,野村,,38.325479,140.862328,1107_50,,0,,,,
1109_10,,上野前,,38.327154,140.849870,1109_10,,0,,,,
1109_50,,上野前,,38.327079,140.849855,1109_50,,0,,,,
111_10,,龍宝寺入口,,38.269894,140.847924,111_10,,0,,,,
111_50,,龍宝寺入口,,38.269734,140.847815,111_50,,0,,,,
1111_10,,泉パークタウン入口,,38.328991,140.842880,1111_10,,0,,,,
1111_50,,泉パークタウン入口,,38.328858,140.843085,1111_50,,0,,,,
1113_10,,八沢川,,38.328021,140.835014,1113_10,,0,,,,
1113_50,,八沢川,,38.328049,140.834610,1113_50,,0,,,,
1115_10,,実沢,,38.328442,140.820270,1115_10,,0,,,,
1115_151,,実沢,,38.328276,140.823824,1115_151,,0,,,,
1115_50,,実沢,,38.328289,140.820679,1115_50,,0,,,,
1117_10,,小角,,38.329146,140.815423,1117_10,,0,,,,
1117_50,,小角,,38.329036,140.816313,1117_50,,0,,,,
1119_10,,鼻毛橋,,38.329181,140.812616,1119_10,,0,,,,
1119_50,,鼻毛橋,,38.329112,140.812636,1119_50,,0,,,,
1121_10,,窪,,38.328469,140.806169,1121_10,,0,,,,
1121_11,,窪,,38.327860,140.804965,1121_11,,0,,,,
1121_50,,窪,,38.328134,140.806555,1121_50,,0,,,,
1121_51,,窪,,38.327837,140.805453,1121_51,,0,,,,
1122_10,,福沢入口,,38.333517,140.802307,1122_10,,0,,,,
1123_10,,判在家,,38.335891,140.802205,1123_10,,0,,,,
1123_50,,判在家,,38.336028,140.802082,1123_50,,0,,,,
1124_10,,根白石デイサービスセンター入口,,38.338258,140.801363,1124_10,,0,,,,
1125_0,,根白石下町,,38.340705,140.800815,1125_0,,0,,,,
1125_10,,根白石下町,,38.340414,140.800930,1125_10,,0,,,,
1125_50,,根白石下町,,38.340410,140.800829,1125_50,,0,,,,
1127_10,,根白石小学校前,,38.343334,140.798936,1127_10,,0,,,,
1127_50,,根白石小学校前,,38.343319,140.798746,1127_50,,0,,,,
1128_10,,馬橋,,38.346226,140.796979,1128_10,,0,,,,
1128_50,,馬橋,,38.346184,140.796850,1128_50,,0,,,,
1129_10,,根白石,,38.343883,140.797384,1129_10,,0,,,,
1129_50,,根白石,,38.343815,140.797312,1129_50,,0,,,,
113_10,,大崎八幡宮前,,38.269667,140.845172,113_10,,0,,,,
113_50,,大崎八幡宮前,,38.269536,140.845321,113_50,,0,,,,
1130_0,,根白石市民センター前,,38.342670,140.795426,1130_0,,0,,,,
1130_10,,根白石市民センター前,,38.342550,140.795071,1130_10,,0,,,,
1130_50,,根白石市民センター前,,38.342711,140.795680,1130_50,,0,,,,
1131_10,,町頭,,38.345637,140.796099,1131_10,,0,,,,
1132_10,,宝積寺前,,38.347560,140.795400,1132_10,,0,,,,
1133_10,,川向,,38.350977,140.793959,1133_10,,0,,,,
1135_10,,川崎入口,,38.354917,140.786141,1135_10,,0,,,,
1137_10,,泉川崎,,38.355516,140.783880,1137_10,,0,,,,
1137_50,,泉川崎,,38.355400,140.783956,1137_50,,0,,,,
1139_10,,川崎上,,38.358789,140.780989,1139_10,,0,,,,
1139_50,,川崎上,,38.357835,140.781543,1139_50,,0,,,,
1141_10,,南切立,,38.363956,140.776538,1141_10,,0,,,,
1143_10,,七北田ダム入口,,38.366774,140.772892,1143_10,,0,,,,
1145_10,,旗枠,,38.370834,140.767394,1145_10,,0,,,,
1147_10,,金森橋,,38.373085,140.760508,1147_10,,0,,,,
1149_10,,笈坂東,,38.374955,140.747483,1149_10,,0,,,,
1151_10,,笈坂,,38.379029,140.740290,1151_10,,0,,,,
1153_10,,芳の平,,38.381241,140.727547,1153_10,,0,,,,
1155_0,,泉岳自然ふれあい館,,38.390061,140.720109,1155_0,,0,,,,
1155_10,,泉岳自然ふれあい館,,38.390061,140.720109,1155_10,,0,,,,
1160_0,,スプリングバレー仙台泉スキー場,,38.418934,140.723190,1160_0,,0,,,,
1160_10,,スプリングバレー仙台泉スキー場,,38.418934,140.723190,1160_10,,0,,,,
1165_10,,要害,,38.365638,140.790130,1165_10,,0,,,,
1170_50,,朴沢小原,,38.371675,140.790769,1170_50,,0,,,,
1175_10,,雷神下,,38.350230,140.781410,1175_10,,0,,,,
1175_50,,雷神下,,38.350083,140.781343,1175_50,,0,,,,
1231_10,,加茂入口,,38.314057,140.868606,1231_10,,0,,,,
1231_50,,加茂入口,,38.314053,140.868751,1231_50,,0,,,,
1233_10,,加茂一丁目,,38.312503,140.864167,1233_10,,0,,,,
1233_50,,加茂一丁目,,38.312349,140.864163,1233_50,,0,,,,
1235_10,,加茂一丁目西,,38.311811,140.859137,1235_10,,0,,,,
1235_50,,加茂一丁目西,,38.311925,140.859823,1235_50,,0,,,,
1237_10,,加茂四丁目,,38.313003,140.856514,1237_10,,0,,,,
1237_50,,加茂四丁目,,38.313248,140.856241,1237_50,,0,,,,
1239_10,,加茂小学校前,,38.314430,140.852756,1239_10,,0,,,,
1239_50,,加茂小学校前,,38.314400,140.853489,1239_50,,0,,,,
1241_10,,加茂五丁目,,38.315990,140.848015,1241_10,,0,,,,
1241_50,,加茂五丁目,,38.315167,140.848600,1241_50,,0,,,,
1245_10,,加茂四丁目南,,38.312155,140.856307,1245_10,,0,,,,
1245_50,,加茂四丁目南,,38.311992,140.856342,1245_50,,0,,,,
1247_10,,上谷刈山添,,38.310831,140.848149,1247_10,,0,,,,
1247_50,,上谷刈山添,,38.310760,140.848762,1247_50,,0,,,,
1250_10,,八乙女駅入口,,38.314717,140.882119,1250_10,,0,,,,
1250_50,,八乙女駅入口,,38.314518,140.882312,1250_50,,0,,,,
1251_10,,上谷刈一丁目東,,38.315169,140.879091,1251_10,,0,,,,
